workload,iteration,parsers_hits_delta,parsers_misses_delta,params_hits_delta,params_misses_delta
B,97,1,0,1,0
B,98,1,0,1,0
B,99,1,0,1,0
B,100,1,0,1,0
B,101,1,0,1,0
B,102,1,0,1,0
B,103,1,0,1,0
B,104,1,0,1,0
B,105,1,0,1,0
B,106,1,0,1,0
B,107,1,0,1,0
B,108,1,0,1,0
B,109,1,0,1,0
B,110,1,0,1,0
B,111,1,0,1,0
B,112,1,0,1,0
B,113,1,0,1,0
B,114,1,0,1,0
B,115,1,0,1,0
B,116,1,0,1,0
B,117,1,0,1,0
B,118,1,0,1,0
B,119,1,0,1,0
B,120,1,0,1,0
B,121,1,0,1,0
B,122,1,0,1,0
B,123,1,0,1,0
B,124,1,0,1,0
B,125,1,0,1,0
B,126,1,0,1,0
B,127,1,0,1,0
B,128,1,0,1,0
B,129,1,0,1,0
B,130,1,0,1,0
B,131,1,0,1,0
B,132,1,0,1,0
B,133,1,0,1,0
B,134,1,0,1,0
B,135,1,0,1,0
B,136,1,0,1,0
B,137,1,0,1,0
B,138,1,0,1,0
B,139,1,0,1,0
B,140,1,0,1,0
B,141,1,0,1,0
B,142,1,0,1,0
B,143,1,0,1,0
B,144,1,0,1,0
B,145,1,0,1,0
B,146,1,0,1,0
B,147,1,0,1,0
B,148,1,0,1,0
B,149,1,0,1,0
B,150,1,0,1,0
B,151,1,0,1,0
B,152,1,0,1,0
B,153,1,0,1,0
B,154,1,0,1,0
B,155,1,0,1,0
B,156,1,0,1,0
B,157,1,0,1,0
B,158,1,0,1,0
B,159,1,0,1,0
B,160,1,0,1,0
B,161,1,0,1,0
B,162,1,0,1,0
B,163,1,0,1,0
B,164,1,0,1,0
B,165,1,0,1,0
B,166,1,0,1,0
B,167,1,0,1,0
B,168,1,0,1,0
B,169,1,0,1,0
B,170,1,0,1,0
B,171,1,0,1,0
B,172,1,0,1,0
B,173,1,0,1,0
B,174,1,0,1,0
B,175,1,0,1,0
B,176,1,0,1,0
B,177,1,0,1,0
B,178,1,0,1,0
B,179,1,0,1,0
B,180,1,0,1,0
B,181,1,0,1,0
B,182,1,0,1,0
B,183,1,0,1,0
B,184,1,0,1,0
B,185,1,0,1,0
B,186,1,0,1,0
B,187,1,0,1,0
B,188,1,0,1,0
B,189,1,0,1,0
B,190,1,0,1,0
B,191,1,0,1,0
B,192,1,0,1,0
B,193,1,0,1,0
B,194,1,0,1,0
B,195,1,0,1,0
B,196,1,0,1,0
B,197,1,0,1,0
B,198,1,0,1,0
B,199,1,0,1,0
B,200,1,0,1,0
B,201,1,0,1,0
B,202,1,0,1,0
B,203,1,0,1,0
B,204,1,0,1,0
B,205,1,0,1,0
B,206,1,0,1,0
B,207,1,0,1,0
B,208,1,0,1,0
B,209,1,0,1,0
B,210,1,0,1,0
B,211,1,0,1,0
B,212,1,0,1,0
B,213,1,0,1,0
B,214,1,0,1,0
B,215,1,0,1,0
B,216,1,0,1,0
B,217,1,0,1,0
B,218,1,0,1,0
B,219,1,0,1,0
B,220,1,0,1,0
B,221,1,0,1,0
B,222,1,0,1,0
B,223,1,0,1,0
B,224,1,0,1,0
B,225,1,0,1,0
B,226,1,0,1,0
B,227,1,0,1,0
B,228,1,0,1,0
B,229,1,0,1,0
B,230,1,0,1,0
B,231,1,0,1,0
B,232,1,0,1,0
B,233,1,0,1,0
B,234,1,0,1,0
B,235,1,0,1,0
B,236,1,0,1,0
B,237,1,0,1,0
B,238,1,0,1,0
B,239,1,0,1,0
B,240,1,0,1,0
B,241,1,0,1,0
B,242,1,0,1,0
B,243,1,0,1,0
B,244,1,0,1,0
B,245,1,0,1,0
B,246,1,0,1,0
B,247,1,0,1,0
B,248,1,0,1,0
B,249,1,0,1,0
B,250,1,0,1,0
B,251,1,0,1,0
B,252,1,0,1,0
B,253,1,0,1,0
B,254,1,0,1,0
B,255,1,0,1,0
B,256,1,0,1,0
B,257,1,0,1,0
B,258,1,0,1,0
B,259,1,0,1,0
B,260,1,0,1,0
B,261,1,0,1,0
B,262,1,0,1,0
B,263,1,0,1,0
B,264,1,0,1,0
B,265,1,0,1,0
B,266,1,0,1,0
B,267,1,0,1,0
B,268,1,0,1,0
B,269,1,0,1,0
B,270,1,0,1,0
B,271,1,0,1,0
B,272,1,0,1,0
B,273,1,0,1,0
B,274,1,0,1,0
B,275,1,0,1,0
B,276,1,0,1,0
B,277,1,0,1,0
B,278,1,0,1,0
B,279,1,0,1,0
B,280,1,0,1,0
B,281,1,0,1,0
B,282,1,0,1,0
B,283,1,0,1,0
B,284,1,0,1,0
B,285,1,0,1,0
B,286,1,0,1,0
B,287,1,0,1,0
B,288,1,0,1,0
B,289,1,0,1,0
B,290,1,0,1,0
B,291,1,0,1,0
B,292,1,0,1,0
B,293,1,0,1,0
B,294,1,0,1,0
B,295,1,0,1,0
B,296,1,0,1,0
B,297,1,0,1,0
B,298,1,0,1,0
B,299,1,0,1,0
B,300,1,0,1,0
B,301,1,0,1,0
B,302,1,0,1,0
B,303,1,0,1,0
B,304,1,0,1,0
B,305,1,0,1,0
B,306,1,0,1,0
B,307,1,0,1,0
B,308,1,0,1,0
B,309,1,0,1,0
B,310,1,0,1,0
B,311,1,0,1,0
B,312,1,0,1,0
B,313,1,0,1,0
B,314,1,0,1,0
B,315,1,0,1,0
B,316,1,0,1,0
B,317,1,0,1,0
B,318,1,0,1,0
B,319,1,0,1,0
B,320,1,0,1,0
B,321,1,0,1,0
B,322,1,0,1,0
B,323,1,0,1,0
B,324,1,0,1,0
B,325,1,0,1,0
B,326,1,0,1,0
B,327,1,0,1,0
B,328,1,0,1,0
B,329,1,0,1,0
B,330,1,0,1,0
B,331,1,0,1,0
B,332,1,0,1,0
B,333,1,0,1,0
B,334,1,0,1,0
B,335,1,0,1,0
B,336,1,0,1,0
B,337,1,0,1,0
B,338,1,0,1,0
B,339,1,0,1,0
B,340,1,0,1,0
B,341,1,0,1,0
B,342,1,0,1,0
B,343,1,0,1,0
B,344,1,0,1,0
B,345,1,0,1,0
B,346,1,0,1,0
B,347,1,0,1,0
B,348,1,0,1,0
B,349,1,0,1,0
B,350,1,0,1,0
B,351,1,0,1,0
B,352,1,0,1,0
B,353,1,0,1,0
B,354,1,0,1,0
B,355,1,0,1,0
B,356,1,0,1,0
B,357,1,0,1,0
B,358,1,0,1,0
B,359,1,0,1,0
B,360,1,0,1,0
B,361,1,0,1,0
B,362,1,0,1,0
B,363,1,0,1,0
B,364,1,0,1,0
B,365,1,0,1,0
B,366,1,0,1,0
B,367,1,0,1,0
B,368,1,0,1,0
B,369,1,0,1,0
B,370,1,0,1,0
B,371,1,0,1,0
B,372,1,0,1,0
B,373,1,0,1,0
B,374,1,0,1,0
B,375,1,0,1,0
B,376,1,0,1,0
B,377,1,0,1,0
B,378,1,0,1,0
B,379,1,0,1,0
B,380,1,0,1,0
B,381,1,0,1,0
B,382,1,0,1,0
B,383,1,0,1,0
B,384,1,0,1,0
B,385,1,0,1,0
B,386,1,0,1,0
B,387,1,0,1,0
B,388,1,0,1,0
B,389,1,0,1,0
B,390,1,0,1,0
B,391,1,0,1,0
B,392,1,0,1,0
B,393,1,0,1,0
B,394,1,0,1,0
B,395,1,0,1,0
B,396,1,0,1,0
B,397,1,0,1,0
B,398,1,0,1,0
B,399,1,0,1,0
B,400,1,0,1,0
B,401,1,0,1,0
B,402,1,0,1,0
B,403,1,0,1,0
B,404,1,0,1,0
B,405,1,0,1,0
B,406,1,0,1,0
B,407,1,0,1,0
B,408,1,0,1,0
B,409,1,0,1,0
B,410,1,0,1,0
B,411,1,0,1,0
B,412,1,0,1,0
B,413,1,0,1,0
B,414,1,0,1,0
B,415,1,0,1,0
B,416,1,0,1,0
B,417,1,0,1,0
B,418,1,0,1,0
B,419,1,0,1,0
B,420,1,0,1,0
B,421,1,0,1,0
B,422,1,0,1,0
B,423,1,0,1,0
B,424,1,0,1,0
B,425,1,0,1,0
B,426,1,0,1,0
B,427,1,0,1,0
B,428,1,0,1,0
B,429,1,0,1,0
B,430,1,0,1,0
B,431,1,0,1,0
B,432,1,0,1,0
B,433,1,0,1,0
B,434,1,0,1,0
B,435,1,0,1,0
B,436,1,0,1,0
B,437,1,0,1,0
B,438,1,0,1,0
B,439,1,0,1,0
B,440,1,0,1,0
B,441,1,0,1,0
B,442,1,0,1,0
B,443,1,0,1,0
B,444,1,0,1,0
B,445,1,0,1,0
B,446,1,0,1,0
B,447,1,0,1,0
B,448,1,0,1,0
B,449,1,0,1,0
B,450,1,0,1,0
B,451,1,0,1,0
B,452,1,0,1,0
B,453,1,0,1,0
B,454,1,0,1,0
B,455,1,0,1,0
B,456,1,0,1,0
B,457,1,0,1,0
B,458,1,0,1,0
B,459,1,0,1,0
B,460,1,0,1,0
B,461,1,0,1,0
B,462,1,0,1,0
B,463,1,0,1,0
B,464,1,0,1,0
B,465,1,0,1,0
B,466,1,0,1,0
B,467,1,0,1,0
B,468,1,0,1,0
B,469,1,0,1,0
B,470,1,0,1,0
B,471,1,0,1,0
B,472,1,0,1,0
B,473,1,0,1,0
B,474,1,0,1,0
B,475,1,0,1,0
B,476,1,0,1,0
B,477,1,0,1,0
B,478,1,0,1,0
B,479,1,0,1,0
B,480,1,0,1,0
B,481,1,0,1,0
B,482,1,0,1,0
B,483,1,0,1,0
B,484,1,0,1,0
B,485,1,0,1,0
B,486,1,0,1,0
B,487,1,0,1,0
B,488,1,0,1,0
B,489,1,0,1,0
B,490,1,0,1,0
B,491,1,0,1,0
B,492,1,0,1,0
B,493,1,0,1,0
B,494,1,0,1,0
B,495,1,0,1,0
B,496,1,0,1,0
B,497,1,0,1,0
B,498,1,0,1,0
B,499,1,0,1,0
B,500,1,0,1,0
B,501,1,0,1,0
B,502,1,0,1,0
B,503,1,0,1,0
B,504,1,0,1,0
B,505,1,0,1,0
B,506,1,0,1,0
B,507,1,0,1,0
B,508,1,0,1,0
B,509,1,0,1,0
B,510,1,0,1,0
B,511,1,0,1,0
B,512,1,0,1,0
B,513,1,0,1,0
B,514,1,0,1,0
B,515,1,0,1,0
B,516,1,0,1,0
B,517,1,0,1,0
B,518,1,0,1,0
B,519,1,0,1,0
B,520,1,0,1,0
B,521,1,0,1,0
B,522,1,0,1,0
B,523,1,0,1,0
B,524,1,0,1,0
B,525,1,0,1,0
B,526,1,0,1,0
B,527,1,0,1,0
B,528,1,0,1,0
B,529,1,0,1,0
B,530,1,0,1,0
B,531,1,0,1,0
B,532,1,0,1,0
B,533,1,0,1,0
B,534,1,0,1,0
B,535,1,0,1,0
B,536,1,0,1,0
B,537,1,0,1,0
B,538,1,0,1,0
B,539,1,0,1,0
B,540,1,0,1,0
B,541,1,0,1,0
B,542,1,0,1,0
B,543,1,0,1,0
B,544,1,0,1,0
B,545,1,0,1,0
B,546,1,0,1,0
B,547,1,0,1,0
B,548,1,0,1,0
B,549,1,0,1,0
B,550,1,0,1,0
B,551,1,0,1,0
B,552,1,0,1,0
B,553,1,0,1,0
B,554,1,0,1,0
B,555,1,0,1,0
B,556,1,0,1,0
B,557,1,0,1,0
B,558,1,0,1,0
B,559,1,0,1,0
B,560,1,0,1,0
B,561,1,0,1,0
B,562,1,0,1,0
B,563,1,0,1,0
B,564,1,0,1,0
B,565,1,0,1,0
B,566,1,0,1,0
B,567,1,0,1,0
B,568,1,0,1,0
B,569,1,0,1,0
B,570,1,0,1,0
B,571,1,0,1,0
B,572,1,0,1,0
B,573,1,0,1,0
B,574,1,0,1,0
B,575,1,0,1,0
B,576,1,0,1,0
B,577,1,0,1,0
B,578,1,0,1,0
B,579,1,0,1,0
B,580,1,0,1,0
B,581,1,0,1,0
B,582,1,0,1,0
B,583,1,0,1,0
B,584,1,0,1,0
B,585,1,0,1,0
B,586,1,0,1,0
B,587,1,0,1,0
B,588,1,0,1,0
B,589,1,0,1,0
B,590,1,0,1,0
B,591,1,0,1,0
B,592,1,0,1,0
B,593,1,0,1,0
B,594,1,0,1,0
B,595,1,0,1,0
B,596,1,0,1,0
B,597,1,0,1,0
B,598,1,0,1,0
B,599,1,0,1,0
B,600,1,0,1,0
B,601,1,0,1,0
B,602,1,0,1,0
B,603,1,0,1,0
B,604,1,0,1,0
B,605,1,0,1,0
B,606,1,0,1,0
B,607,1,0,1,0
B,608,1,0,1,0
B,609,1,0,1,0
B,610,1,0,1,0
B,611,1,0,1,0
B,612,1,0,1,0
B,613,1,0,1,0
B,614,1,0,1,0
B,615,1,0,1,0
B,616,1,0,1,0
B,617,1,0,1,0
B,618,1,0,1,0
B,619,1,0,1,0
B,620,1,0,1,0
B,621,1,0,1,0
B,622,1,0,1,0
B,623,1,0,1,0
B,624,1,0,1,0
B,625,1,0,1,0
B,626,1,0,1,0
B,627,1,0,1,0
B,628,1,0,1,0
B,629,1,0,1,0
B,630,1,0,1,0
B,631,1,0,1,0
B,632,1,0,1,0
B,633,1,0,1,0
B,634,1,0,1,0
B,635,1,0,1,0
B,636,1,0,1,0
B,637,1,0,1,0
B,638,1,0,1,0
B,639,1,0,1,0
B,640,1,0,1,0
B,641,1,0,1,0
B,642,1,0,1,0
B,643,1,0,1,0
B,644,1,0,1,0
B,645,1,0,1,0
B,646,1,0,1,0
B,647,1,0,1,0
B,648,1,0,1,0
B,649,1,0,1,0
B,650,1,0,1,0
B,651,1,0,1,0
B,652,1,0,1,0
B,653,1,0,1,0
B,654,1,0,1,0
B,655,1,0,1,0
B,656,1,0,1,0
B,657,1,0,1,0
B,658,1,0,1,0
B,659,1,0,1,0
B,660,1,0,1,0
B,661,1,0,1,0
B,662,1,0,1,0
B,663,1,0,1,0
B,664,1,0,1,0
B,665,1,0,1,0
B,666,1,0,1,0
B,667,1,0,1,0
B,668,1,0,1,0
B,669,1,0,1,0
B,670,1,0,1,0
B,671,1,0,1,0
B,672,1,0,1,0
B,673,1,0,1,0
B,674,1,0,1,0
B,675,1,0,1,0
B,676,1,0,1,0
B,677,1,0,1,0
B,678,1,0,1,0
B,679,1,0,1,0
B,680,1,0,1,0
B,681,1,0,1,0
B,682,1,0,1,0
B,683,1,0,1,0
B,684,1,0,1,0
B,685,1,0,1,0
B,686,1,0,1,0
B,687,1,0,1,0
B,688,1,0,1,0
B,689,1,0,1,0
B,690,1,0,1,0
B,691,1,0,1,0
B,692,1,0,1,0
B,693,1,0,1,0
B,694,1,0,1,0
B,695,1,0,1,0
B,696,1,0,1,0
B,697,1,0,1,0
B,698,1,0,1,0
B,699,1,0,1,0
B,700,1,0,1,0
B,701,1,0,1,0
B,702,1,0,1,0
B,703,1,0,1,0
B,704,1,0,1,0
B,705,1,0,1,0
B,706,1,0,1,0
B,707,1,0,1,0
B,708,1,0,1,0
B,709,1,0,1,0
B,710,1,0,1,0
B,711,1,0,1,0
B,712,1,0,1,0
B,713,1,0,1,0
B,714,1,0,1,0
B,715,1,0,1,0
B,716,1,0,1,0
B,717,1,0,1,0
B,718,1,0,1,0
B,719,1,0,1,0
B,720,1,0,1,0
B,721,1,0,1,0
B,722,1,0,1,0
B,723,1,0,1,0
B,724,1,0,1,0
B,725,1,0,1,0
B,726,1,0,1,0
B,727,1,0,1,0
B,728,1,0,1,0
B,729,1,0,1,0
B,730,1,0,1,0
B,731,1,0,1,0
B,732,1,0,1,0
B,733,1,0,1,0
B,734,1,0,1,0
B,735,1,0,1,0
B,736,1,0,1,0
B,737,1,0,1,0
B,738,1,0,1,0
B,739,1,0,1,0
B,740,1,0,1,0
B,741,1,0,1,0
B,742,1,0,1,0
B,743,1,0,1,0
B,744,1,0,1,0
B,745,1,0,1,0
B,746,1,0,1,0
B,747,1,0,1,0
B,748,1,0,1,0
B,749,1,0,1,0
B,750,1,0,1,0
B,751,1,0,1,0
B,752,1,0,1,0
B,753,1,0,1,0
B,754,1,0,1,0
B,755,1,0,1,0
B,756,1,0,1,0
B,757,1,0,1,0
B,758,1,0,1,0
B,759,1,0,1,0
B,760,1,0,1,0
B,761,1,0,1,0
B,762,1,0,1,0
B,763,1,0,1,0
B,764,1,0,1,0
B,765,1,0,1,0
B,766,1,0,1,0
B,767,1,0,1,0
B,768,1,0,1,0
B,769,1,0,1,0
B,770,1,0,1,0
B,771,1,0,1,0
B,772,1,0,1,0
B,773,1,0,1,0
B,774,1,0,1,0
B,775,1,0,1,0
B,776,1,0,1,0
B,777,1,0,1,0
B,778,1,0,1,0
B,779,1,0,1,0
B,780,1,0,1,0
B,781,1,0,1,0
B,782,1,0,1,0
B,783,1,0,1,0
B,784,1,0,1,0
B,785,1,0,1,0
B,786,1,0,1,0
B,787,1,0,1,0
B,788,1,0,1,0
B,789,1,0,1,0
B,790,1,0,1,0
B,791,1,0,1,0
B,792,1,0,1,0
B,793,1,0,1,0
B,794,1,0,1,0
B,795,1,0,1,0
B,796,1,0,1,0
B,797,1,0,1,0
B,798,1,0,1,0
B,799,1,0,1,0
B,800,1,0,1,0
B,801,1,0,1,0
B,802,1,0,1,0
B,803,1,0,1,0
B,804,1,0,1,0
B,805,1,0,1,0
B,806,1,0,1,0
B,807,1,0,1,0
B,808,1,0,1,0
B,809,1,0,1,0
B,810,1,0,1,0
B,811,1,0,1,0
B,812,1,0,1,0
B,813,1,0,1,0
B,814,1,0,1,0
B,815,1,0,1,0
B,816,1,0,1,0
B,817,1,0,1,0
B,818,1,0,1,0
B,819,1,0,1,0
B,820,1,0,1,0
B,821,1,0,1,0
B,822,1,0,1,0
B,823,1,0,1,0
B,824,1,0,1,0
B,825,1,0,1,0
B,826,1,0,1,0
B,827,1,0,1,0
B,828,1,0,1,0
B,829,1,0,1,0
B,830,1,0,1,0
B,831,1,0,1,0
B,832,1,0,1,0
B,833,1,0,1,0
B,834,1,0,1,0
B,835,1,0,1,0
B,836,1,0,1,0
B,837,1,0,1,0
B,838,1,0,1,0
B,839,1,0,1,0
B,840,1,0,1,0
B,841,1,0,1,0
B,842,1,0,1,0
B,843,1,0,1,0
B,844,1,0,1,0
B,845,1,0,1,0
B,846,1,0,1,0
B,847,1,0,1,0
B,848,1,0,1,0
B,849,1,0,1,0
B,850,1,0,1,0
B,851,1,0,1,0
B,852,1,0,1,0
B,853,1,0,1,0
B,854,1,0,1,0
B,855,1,0,1,0
B,856,1,0,1,0
B,857,1,0,1,0
B,858,1,0,1,0
B,859,1,0,1,0
B,860,1,0,1,0
B,861,1,0,1,0
B,862,1,0,1,0
B,863,1,0,1,0
B,864,1,0,1,0
B,865,1,0,1,0
B,866,1,0,1,0
B,867,1,0,1,0
B,868,1,0,1,0
B,869,1,0,1,0
B,870,1,0,1,0
B,871,1,0,1,0
B,872,1,0,1,0
B,873,1,0,1,0
B,874,1,0,1,0
B,875,1,0,1,0
B,876,1,0,1,0
B,877,1,0,1,0
B,878,1,0,1,0
B,879,1,0,1,0
B,880,1,0,1,0
B,881,1,0,1,0
B,882,1,0,1,0
B,883,1,0,1,0
B,884,1,0,1,0
B,885,1,0,1,0
B,886,1,0,1,0
B,887,1,0,1,0
B,888,1,0,1,0
B,889,1,0,1,0
B,890,1,0,1,0
B,891,1,0,1,0
B,892,1,0,1,0
B,893,1,0,1,0
B,894,1,0,1,0
B,895,1,0,1,0
B,896,1,0,1,0
B,897,1,0,1,0
B,898,1,0,1,0
B,899,1,0,1,0
B,900,1,0,1,0
B,901,1,0,1,0
B,902,1,0,1,0
B,903,1,0,1,0
B,904,1,0,1,0
B,905,1,0,1,0
B,906,1,0,1,0
B,907,1,0,1,0
B,908,1,0,1,0
B,909,1,0,1,0
B,910,1,0,1,0
B,911,1,0,1,0
B,912,1,0,1,0
B,913,1,0,1,0
B,914,1,0,1,0
B,915,1,0,1,0
B,916,1,0,1,0
B,917,1,0,1,0
B,918,1,0,1,0
B,919,1,0,1,0
B,920,1,0,1,0
B,921,1,0,1,0
B,922,1,0,1,0
B,923,1,0,1,0
B,924,1,0,1,0
B,925,1,0,1,0
B,926,1,0,1,0
B,927,1,0,1,0
B,928,1,0,1,0
B,929,1,0,1,0
B,930,1,0,1,0
B,931,1,0,1,0
B,932,1,0,1,0
B,933,1,0,1,0
B,934,1,0,1,0
B,935,1,0,1,0
B,936,1,0,1,0
B,937,1,0,1,0
B,938,1,0,1,0
B,939,1,0,1,0
B,940,1,0,1,0
B,941,1,0,1,0
B,942,1,0,1,0
B,943,1,0,1,0
B,944,1,0,1,0
B,945,1,0,1,0
B,946,1,0,1,0
B,947,1,0,1,0
B,948,1,0,1,0
B,949,1,0,1,0
B,950,1,0,1,0
B,951,1,0,1,0
B,952,1,0,1,0
B,953,1,0,1,0
B,954,1,0,1,0
B,955,1,0,1,0
B,956,1,0,1,0
B,957,1,0,1,0
B,958,1,0,1,0
B,959,1,0,1,0
B,960,1,0,1,0
B,961,1,0,1,0
B,962,1,0,1,0
B,963,1,0,1,0
B,964,1,0,1,0
B,965,1,0,1,0
B,966,1,0,1,0
B,967,1,0,1,0
B,968,1,0,1,0
B,969,1,0,1,0
B,970,1,0,1,0
B,971,1,0,1,0
B,972,1,0,1,0
B,973,1,0,1,0
B,974,1,0,1,0
B,975,1,0,1,0
B,976,1,0,1,0
B,977,1,0,1,0
B,978,1,0,1,0
B,979,1,0,1,0
B,980,1,0,1,0
B,981,1,0,1,0
B,982,1,0,1,0
B,983,1,0,1,0
B,984,1,0,1,0
B,985,1,0,1,0
B,986,1,0,1,0
B,987,1,0,1,0
B,988,1,0,1,0
B,989,1,0,1,0
B,990,1,0,1,0
B,991,1,0,1,0
B,992,1,0,1,0
B,993,1,0,1,0
B,994,1,0,1,0
B,995,1,0,1,0
B,996,1,0,1,0
B,997,1,0,1,0
B,998,1,0,1,0
B,999,1,0,1,0
